produit,quantite,prix_unitaire,prix_total,categorie,date,enseigne,fichier,nom_simplifié
FARINE COMPLETE SARRASIN BIO,1.0,5.0,5.0,EPICERIE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Farine complète
%* PATATE DOUCE ORANGE,1.512,2.95,4.46,FRUITS ET LEGUMES,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Patate douce (surgelée)
NOIX DE CAJOU 300G,1.0,2.86,2.86,FRUITS ET LEGUMES,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Noix de cajou
%* AVOCAT,3.0,1.39,4.17,FRUITS ET LEGUMES,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Avocat
GALETTES EPIN FROM2X100G N&VIE,1.0,1.99,1.99,TRAITEUR LIBRE SERVICE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Galettes épinard-fromage
TOFU 250G,2.0,1.99,3.98,TRAITEUR LIBRE SERVICE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Tofu
EMINCES NATURE VEGETALE 160G,3.0,2.23,6.69,TRAITEUR LIBRE SERVICE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Émincés végétaux
2X 1.99€,1.0,3.98,3.98,TRAITEUR LIBRE SERVICE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,2X 1.99€
EMINCES 100% VEGET.160G ACCRO,2.0,2.23,4.46,TRAITEUR LIBRE SERVICE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Émincés végétaux
HOUMOUS BLINI 200G,1.0,2.08,2.08,SAURISSERIE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Houmous
COTTAGE CHEESE NATURE 180GX2,1.0,3.88,3.88,ULTRAS FRAIS,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Cottage cheese
PETIT YOPLAIT NATURE 0% X12,3.0,2.35,7.05,ULTRAS FRAIS,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Yaourt Yoplait x12
FROMAGE BLANC NATURE 3%MG 1KG,1.0,1.98,1.98,ULTRAS FRAIS,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Fromage blanc
12 OEUFS PLEIN AIR LNA,1.0,3.75,3.75,ULTRAS FRAIS,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Œufs x12
SACS POUBEL COULISSANT 3@LX20,1.0,2.09,2.09,MENAGE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Sacs poubelle
SACS POUB COULISSANT 20LX20,1.0,2.05,2.05,MENAGE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,SACS POUB COULISSANT 20LX20
LOT BRII5@%/2E MOINS CHER (X2),1.0,2.0,2.0,MENAGE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,LOT BRII5@%/2E MOINS CHER (X2)
LOT BRII50%/2E MOINS CHER VEGE,1.0,1.0,1.0,MENAGE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,LOT BRII50%/2E MOINS CHER VEGE
LOT BRII50%/2E MOINS CHER VEGE,1.0,1.0,1.0,MENAGE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,LOT BRII50%/2E MOINS CHER VEGE
LOT BRII5@%/2E MOINS CHER VEGE,1.0,1.0,1.0,MENAGE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,LOT BRII5@%/2E MOINS CHER VEGE
Lot LOT BRII 2M68PCT CEREAL BIO,1.0,1.84,1.84,MENAGE,2026-03-16,Leclerc,E.Leclerc - Ticket du 16.03.2026.pdf,Lot LOT BRII 2M68PCT CEREAL BIO
CHOCO EXCELLENCE NR 85% LINDT,1.0,2.24,2.24,EPICERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Chocolat noir 85%
SUCRE POUDRE DADDY KRAFT 750G,1.0,1.67,1.67,EPICERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Sucre
FARINE COMPLETE SARRASIN BIO 5,1.0,2.99,2.99,EPICERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Farine complète
10 CAPS ALU CAFE LUNGO 52G PLA,1.0,2.35,2.35,EPICERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Capsules café
10 CAPS ALU BRESIL 52G PLANTA,1.0,2.39,2.39,EPICERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Capsules café
COMPOTE VAR ALL BIO 12X90G BV,1.0,6.29,6.29,EPICERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Compote x12
MAYO MOUTARDE BIO BOC 238G MR,1.0,2.34,2.34,EPICERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Mayonnaise
BIERE AFFLIGEM BLE 25CLX6 NEW,1.0,5.35,5.35,LIQUIDE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Bière Affligem
"EAU SOURCE 6X1,5L",1.0,1.66,1.66,LIQUIDE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Eau plate x6
SANPELLEGRINO CLEMENTINE/PECHE,1.0,3.84,3.84,LIQUIDE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Pêche
NETT VITROCLEN PISTOLET 250ML,1.0,2.34,2.34,DROGUERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Nettoyant vitrocéramique
DECOLOR STOP X10,1.0,2.48,2.48,DROGUERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Décolor Stop
LESS.EXPRESS MAIN BIOVIE 200ML,1.0,2.69,2.69,DROGUERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Lessive
PECHE BLANCHE,0.8,4.99,3.99,FRUITS ET LEGUMES,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Pêche blanche
AMANDE DECORTIQ.HOLYFRUITS 500G,1.0,4.98,4.98,FRUITS ET LEGUMES,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Amandes
BANANE MAX HAVELAAR X5 BIO VILL,1.0,1.99,1.99,FRUITS ET LEGUMES,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Banane
AVOCAT,2.0,1.39,2.78,FRUITS ET LEGUMES,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Avocat
TOFU FUME BIO 200G,2.0,2.98,5.96,TRAITEUR LIBRE SERVICE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Tofu
HOUMMOUS 200G TABLE DU MONDE,1.0,1.43,1.43,SAURISSERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Houmous
TRUITE MER FUMEE 4TR 120G RDM,1.0,4.39,4.39,SAURISSERIE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Truite fumée
OEUFS PL.AIR BIO CQLP X12,1.0,5.04,5.04,ULTRAS FRAIS,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Œufs x12
FROMAGE BLANC NATURE 3%MG 1KG,1.0,1.92,1.92,ULTRAS FRAIS,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Fromage blanc
"PETITS FROMAGE BLANC NAT3,8% 1",1.0,1.62,1.62,ULTRAS FRAIS,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Fromage blanc
EAU DE COCO 1L,1.0,3.89,3.89,ULTRAS FRAIS,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,Eau de coco
"FEUTRES ADHESIFS,,1P",1.0,1.89,1.89,MENAGE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,"FEUTRES ADHESIFS,,1P"
CHAPELET 3 SACHETS LAVANDIN,1.0,3.95,3.95,MENAGE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,CHAPELET 3 SACHETS LAVANDIN
POT LINDO 10 BROSSES POMME,1.0,1.99,1.99,MENAGE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,POT LINDO 10 BROSSES POMME
4 CROCHETS ADH INOX RECTANGLE,1.0,3.49,3.49,MENAGE,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,4 CROCHETS ADH INOX RECTANGLE
1 MARQUEUR SHARPIE TWIN TIP NO,1.0,1.94,1.94,PAPETERIE/CADRE/ALBUM,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,1 MARQUEUR SHARPIE TWIN TIP NO
2X100 NOTES ROSE/VERT 1PCE,1.0,0.99,0.99,PAPETERIE/CADRE/ALBUM,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,2X100 NOTES ROSE/VERT 1PCE
CARNET AV ENVEL CODE K,1.0,3.75,3.75,PAPETERIE/CADRE/ALBUM,2025-07-21,Leclerc,E.Leclerc - Ticket du 21.07.2025.pdf,CARNET AV ENVEL CODE K
"PERRUCHE CASSONA.PDE B.SAY,750",1.0,2.44,2.44,EPICERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Sucre
TOFU NATURE BJORG,4.0,2.64,10.56,EPICERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Tofu
RIZ BASMATI 1KG CDG,2.0,2.55,5.1,EPICERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Riz basmati
MOUTARDE ANCIENNE AOP BOURGOGN,1.0,1.39,1.39,EPICERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Moutarde à l'ancienne
PDM TOASTILIGNE COMPLET 500G,2.0,1.46,2.92,EPICERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Pain de mie complet
* HOVE BIO TERRA DELYSSA 0.75L,1.0,8.99,8.99,EPICERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Huile d'olive
LAIT DE COCO LIGHT BRIQUE 200M,2.0,1.35,2.7,EPICERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Lait de coco
SUN DW SLT REG CART 1K,1.0,1.07,1.07,DROGUERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Liquide vaisselle
* BANANE SACHET X 5,1.0,1.69,1.69,FRUITS ET LEGUMES,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Banane
* AVOCAT,5.0,1.39,6.95,FRUITS ET LEGUMES,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Avocat
HOUMOUS DEGUSTATION 175G,2.0,2.25,4.5,SAURISSERIE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Houmous
12 OEUFS PLEIN AIR LNA,2.0,3.61,7.22,ULTRAS FRAIS,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Œufs x12
BOITE RECT. 122 A/CV PURE BOX,2.0,7.49,14.98,MENAGE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,BOITE RECT. 122 A/CV PURE BOX
REVEIL DIGITAL RECT EFFET BOIS,1.0,13.99,13.99,MENAGE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,REVEIL DIGITAL RECT EFFET BOIS
DSITRIB SPRAY 250ML PLAST,1.0,1.99,1.99,MENAGE,2025-10-22,Leclerc,E.Leclerc - Ticket du 22.10.2025.pdf,Spray nettoyant
SARDINE HLE OLIV.HYACINTHE232G,2.0,3.14,6.28,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Sardines (boîte)
HACHE VEGETAL BOLOGN.SOJA BIO,3.0,2.46,7.38,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Steak haché végétal
EMINCE VEGGIE SAUCE MEXICAINE,3.0,3.16,9.48,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Émincés végétaux
ALLUMETTES VEGGIE 100G BIO,2.0,1.68,3.36,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Allumettes végétales
RIZ BASMATI 1KG CDG,1.0,2.55,2.55,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Riz basmati
30 CAPS ALU CAFE EQUIL 156G PL,1.0,5.19,5.19,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Capsules café
COUSCOUS PARF.EPICE TIPIAK 510G,2.0,1.95,3.9,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Couscous
BEURRE CACAHUETES CRUNCHY BIO,1.0,3.84,3.84,EPICERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Beurre de cacahuètes
SANPELLEGRINO CLEMENTINE/PECHE,1.0,3.75,3.75,LIQUIDE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Pêche
SANPELLEGRINO MOMENTI GRENADE 6,1.0,3.79,3.79,LIQUIDE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,San Pellegrino
S PELLEGRINO MOM THE CITRON 6X3,1.0,3.64,3.64,LIQUIDE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Citron
MOUCHOIRS BLANCS 15X9 UNI VERT,2.0,1.95,3.9,HYGIENE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Mouchoirs
PH BLANC X 6 3PLIS UNIVERT,2.0,2.34,4.68,HYGIENE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Papier toilette
BTE MOUCHOIRS X 80 3 PLIS,6.0,1.26,7.56,HYGIENE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Mouchoirs
* BANANE SACHET X 5,1.0,1.69,1.69,FRUITS ET LEGUMES,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Banane
* AVOCAT,3.0,1.39,4.17,FRUITS ET LEGUMES,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Avocat
EMINCES 100% VEGET.160G ACCRO,1.0,2.23,2.23,TRAITEUR LIBRE SERVICE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Émincés végétaux
FARCE 100% VEGETAL 200G ACCRO,1.0,2.27,2.27,TRAITEUR LIBRE SERVICE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Farce végétale
HACHE TRAD 250G HEURA,1.0,3.99,3.99,TRAITEUR LIBRE SERVICE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Steak haché végétal
HOUMMOUS 200G TABLE DU MONDE,1.0,1.43,1.43,SAURISSERIE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Houmous
"PETITS FROMAGE BLANC NAT3,8% 1",2.0,1.64,3.28,ULTRAS FRAIS,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Fromage blanc
OEUFS BIOLOGIQUES X10 MR,1.0,3.41,3.41,ULTRAS FRAIS,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Œufs x10
SACS POUBEL COULISSANT 30LX20,1.0,2.11,2.11,MENAGE,2025-11-25,Leclerc,E.Leclerc - Ticket du 25.11.2025.pdf,Sacs poubelle
12 OEUFS PLEIN AIR LNA,2.0,3.63,7.26,,2025-10-28,Leclerc,E.Leclerc - Ticket du 28.10.2025.pdf,Œufs x12
BOITE DE CONSERVATION CARREE 6,1.0,2.0,2.0,,2025-10-28,Leclerc,E.Leclerc - Ticket du 28.10.2025.pdf,BOITE DE CONSERVATION CARREE 6
VINAIGRE PULPE DE MANGUE,1.0,4.29,4.29,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Vinaigre
COUSCOUS PARFUME EPICES DOUCES,1.0,2.02,2.02,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Couscous
PAPRIKA DOUX,1.0,3.35,3.35,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Paprika
HACHE VEGETAL BOLOGN.SOJA BIO,2.0,2.54,5.08,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Steak haché végétal
TOFU NATURE BJORG,2.0,2.64,5.28,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Tofu
SEITAN 85G BIO X2,1.0,4.37,4.37,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Seitan x2
CUISINE VEGETALE FLUIDE,3.0,1.06,3.18,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Crème végétale (cuisine)
FLOCONS D'AVOINE BIO 1KG,1.0,3.88,3.88,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Flocons d'avoine
RIZ BASMATI 1KG CDG,1.0,2.55,2.55,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Riz basmati
LAIT AMANDE SSA BK BIO 1L,3.0,1.41,4.23,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Lait d'amande
TABOULE ORIENT TIPIAK 300G,1.0,2.29,2.29,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Taboulé
EPEAUTRE GOURMAND 2X175G,1.0,2.85,2.85,EPICERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Épeautre
SANPELLEGRINO CITRON-FRAMBOISE,1.0,3.6,3.6,LIQUIDE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Citron
SANPELLEGRINO CLEMENTINE/PECHE,1.0,3.84,3.84,LIQUIDE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Pêche
S.PELLEGRINO ESSENZA PAMPLEMOUS,1.0,3.24,3.24,LIQUIDE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,San Pellegrino
DECOLOR STOP X10,1.0,2.48,2.48,DROGUERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Décolor Stop
SAVON NOIR LIQ 1L,1.0,2.48,2.48,DROGUERIE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Savon noir
* TOMATE COTELEE TYPE NOIRE CRIME,1.628,2.99,4.87,FRUITS ET LEGUMES,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Tomate
* CITRON JAUNE,0.212,3.95,0.84,FRUITS ET LEGUMES,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Citron
* PECHE BLANCHES FILIERE X4 PDP,1.0,3.79,3.79,FRUITS ET LEGUMES,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Pêche blanche
* AVOCAT HASS 2FRUITS BIOVILLAGE,1.0,3.49,3.49,FRUITS ET LEGUMES,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Avocat
* MELON DE CAVAILLON,1.0,2.79,2.79,FRUITS ET LEGUMES,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Melon
* POMME BICOLORE BQT 4 FRUITS (0.,1.0,0.95,0.95,FRUITS ET LEGUMES,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Pomme
HOUMOUS NATURE BIO 175G PO 6BE,1.0,2.89,2.89,FRUITS ET LEGUMES,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Houmous
* MOZZARELLA LAIT DE VACHE 3 X 10,1.0,4.6,4.6,FROMAGE TRADITIONNEL,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Mozzarella x10
ENCORNET GEANT CUIT ENTIER,1.0,6.25,6.25,POISSONNERIE TRAD,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Encornet
HACHE VEGETAL 200G TIBA TEMPEH,1.0,4.85,4.85,TRAITEUR LIBRE SERVICE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Steak haché végétal
FROMAGE BLANC NATURE 3%MG 1KG,1.0,1.92,1.92,ULTRAS FRAIS,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Fromage blanc
"PETITS FROMAGE BLANC NAT3,8% 1",1.0,1.62,1.62,ULTRAS FRAIS,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Fromage blanc
OEUFS BIOLOGIQUES X10 MR,1.0,3.41,3.41,ULTRAS FRAIS,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Œufs x10
EAU DE COCO 1L,1.0,3.99,3.99,ULTRAS FRAIS,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Eau de coco
PARMIGIANO REGG.RAPE 30%MG 60G,1.0,1.09,1.09,CREMERIE LIBRE SERVICE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,Parmesan râpé
PASSOIRE RETRACTABLE ROND,1.0,3.59,3.59,MENAGE,2025-08-30,Leclerc,E.Leclerc - Ticket du 30.08.2025.pdf,PASSOIRE RETRACTABLE ROND
Lég wok 600g,1.0,2.8,2.8,Surgelés,2025-11-03,Picard,5a2126d2-23a4-4b24-b6e6-56c09fb2dd7b.pdf,Légumes wok (surgelé)
Ratatouille 1k,2.0,4.55,9.1,Surgelés,2025-11-03,Picard,5a2126d2-23a4-4b24-b6e6-56c09fb2dd7b.pdf,Ratatouille (surgelée)
Lég pour wok,1.0,2.7,2.7,Surgelés,2025-11-03,Picard,5a2126d2-23a4-4b24-b6e6-56c09fb2dd7b.pdf,Légumes wok (surgelé)
Légume basqu,1.0,5.99,5.99,Surgelés,2025-11-03,Picard,5a2126d2-23a4-4b24-b6e6-56c09fb2dd7b.pdf,Légumes wok (surgelé)
Fil colin Alaska800,2.0,11.5,23.0,Surgelés,2025-11-03,Picard,5a2126d2-23a4-4b24-b6e6-56c09fb2dd7b.pdf,Colin (surgelé)
Julienne s/résid,1.0,2.25,2.25,Surgelés,2025-11-03,Picard,5a2126d2-23a4-4b24-b6e6-56c09fb2dd7b.pdf,Julienne (surgelée)
Cocktail 3 mer,2.0,9.5,19.0,Surgelés,2025-11-03,Picard,5a2126d2-23a4-4b24-b6e6-56c09fb2dd7b.pdf,Fruits de mer (surgelé)
Poêlé lég 600g,2.0,3.99,7.98,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Poêlée de légumes (surgelée)
Tr colin Alask,3.0,5.99,17.97,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Colin (surgelé)
Sal frt rouge,1.0,7.99,7.99,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Saumon (surgelé)
Salade F.exo,1.0,7.49,7.49,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Salade exotique (surgelée)
Légume basqu,2.0,5.99,11.98,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Légumes wok (surgelé)
Ch émincés 1kg,1.0,3.8,3.8,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Poulet émincé
Julienne s/résidu,2.0,2.25,4.5,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Julienne (surgelée)
Ratatouille 1k,2.0,4.55,9.1,Surgelés,2026-02-04,Picard,5d3f8de0-095c-4105-9cd8-a2546cb50bba.pdf,Ratatouille (surgelée)
Ratatouille 1k,1.0,4.55,4.55,Surgelés,2025-09-16,Picard,65c5379d-94ff-4fd6-98c9-d6932109bc54.pdf,Ratatouille (surgelée)
Légume basqu,1.0,5.99,5.99,Surgelés,2025-09-16,Picard,65c5379d-94ff-4fd6-98c9-d6932109bc54.pdf,Légumes wok (surgelé)
Julienne s/résid,1.0,2.25,2.25,Surgelés,2025-09-16,Picard,65c5379d-94ff-4fd6-98c9-d6932109bc54.pdf,Julienne (surgelée)
Cubes XL 1 kg,1.0,2.99,2.99,Surgelés,2025-09-16,Picard,65c5379d-94ff-4fd6-98c9-d6932109bc54.pdf,Cubes légumes XL (surgelé)
Filet dorade 800,1.0,15.99,15.99,Surgelés,2025-09-16,Picard,65c5379d-94ff-4fd6-98c9-d6932109bc54.pdf,Dorade (surgelée)
Sal frt rouge,1.0,6.99,6.99,Surgelés,2025-09-16,Picard,65c5379d-94ff-4fd6-98c9-d6932109bc54.pdf,Saumon (surgelé)
Lég pour wok,1.0,2.7,2.7,Surgelés,2025-09-16,Picard,65c5379d-94ff-4fd6-98c9-d6932109bc54.pdf,Légumes wok (surgelé)
Salade F.exo,1.0,7.49,7.49,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Salade exotique (surgelée)
Mél moule MSC,1.0,7.99,7.99,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Fruits de mer (surgelé)
Patade douce SRP,2.0,3.9,7.8,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Patate douce (surgelée)
Lég wok 600g,1.0,2.8,2.8,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Légumes wok (surgelé)
Poêlé lég 600g,1.0,3.99,3.99,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Poêlée de légumes (surgelée)
Ratatouille 1k,1.0,4.55,4.55,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Ratatouille (surgelée)
Julienne s/résid,1.0,2.25,2.25,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Julienne (surgelée)
Légume basqu,1.0,5.99,5.99,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Légumes wok (surgelé)
Fil colin Alaska,1.0,11.5,11.5,Surgelés,2025-10-15,Picard,dad2e1d2-e4a1-44b8-bcb3-d68f70490806.pdf,Colin (surgelé)
Ratatouille 1k,2.0,4.55,9.1,Surgelés,2025-12-15,Picard,feff0f66-d640-436c-8b13-43c745287aff.pdf,Ratatouille (surgelée)
Poêlé lég 600g,2.0,3.99,7.98,Surgelés,2025-12-15,Picard,feff0f66-d640-436c-8b13-43c745287aff.pdf,Poêlée de légumes (surgelée)
